Species Name;Taxonomic Group;Trophy;typeMX
Akashiwo sanguinea;Dinoflagellata;mixoplankton ;CM
Alexandrium andersonii;Dinoflagellata;mixoplankton ;CM
Alexandrium catenella;Dinoflagellata;mixoplankton ;CM
Alexandrium minutum;Dinoflagellata;mixoplankton ;CM
Alexandrium ostenfeldii;Dinoflagellata;mixoplankton ;CM
Alexandrium pacificum;Dinoflagellata;mixoplankton ;CM
Alexandrium pohangense;Dinoflagellata;mixoplankton ;CM
Alexandrium pseudogonyaulax;Dinoflagellata;mixoplankton ;CM
Amphidiniella sedentaria;Dinoflagellata;mixoplankton ;CM
Amphidinium carterae;Dinoflagellata;mixoplankton ;CM
Amphidinium scissum;Dinoflagellata;mixoplankton ;CM*
Amphidinium steinii;Dinoflagellata;mixoplankton ;CM*
Amphisolenia bidentata;Dinoflagellata;mixoplankton ;eSNCM
Amphisolenia brevicauda;Dinoflagellata;mixoplankton ;eSNCM
Amphisolenia elongata;Dinoflagellata;mixoplankton ;eSNCM
Amphisolenia globifera;Dinoflagellata;mixoplankton ;eSNCM
Amphisolenia inflata;Dinoflagellata;mixoplankton ;eSNCM
Amphisolenia laticincta;Dinoflagellata;mixoplankton ;eSNCM
Amphisolenia palmata;Dinoflagellata;mixoplankton ;eSNCM
Amphisolenia rectangulata;Dinoflagellata;mixoplankton ;eSNCM
Amphisolenia schauinslandii;Dinoflagellata;mixoplankton ;eSNCM
Amphisolenia thrinax;Dinoflagellata;mixoplankton ;eSNCM
Amylax triacantha;Dinoflagellata;mixoplankton ;pSNCM
Amylax triacantha var. buxus;Dinoflagellata;mixoplankton ;pSNCM
Ansanella granifera;Dinoflagellata;mixoplankton ;CM
Apicoporus glaber;Dinoflagellata;mixoplankton ;CM*
Apicoporus parvidiaboli;Dinoflagellata;mixoplankton ;CM*
Barrufeta bravensis;Dinoflagellata;mixoplankton ;CM
Barrufeta resplendens;Dinoflagellata;mixoplankton ;CM
Biecheleria baltica;Dinoflagellata;mixoplankton ;CM
Biecheleria cincta;Dinoflagellata;mixoplankton ;CM
Biecheleriopsis adriatica;Dinoflagellata;mixoplankton ;CM
