sp;trophy;typeMX;occ;env.data.type;pa.generation
Heterocapsa_nei_rotundata;mixotroph;CM;PA;Spatial;no pseudoabs 
Karlodinium_veneficum;mixotroph;CM;PA;Spatial;no pseudoabs 
Torodinium_robustum;mixotroph;CM;PA;Spatial;no pseudoabs 
Karlodinium_sp.;mixotroph;CM;PA;Spatial;no pseudoabs 
Tripos_furca;mixotroph;CM;PA;Spatial;no pseudoabs 
Margalefidinium_fulvescens;mixotroph;CM;PA;Spatial;no pseudoabs 
Gonyaulax_polygramma;mixotroph;CM;PA;Spatial;no pseudoabs 
Biecheleria_cincta;mixotroph;CM;PA;Spatial;no pseudoabs 
Takayama_pulchellum;mixotroph;CM;PA;Spatial;no pseudoabs 
Margalefidinium_polykrikoides;mixotroph;CM;PA;Spatial;no pseudoabs 
Scrippsiella_acuminata;mixotroph;CM;PA;Spatial;no pseudoabs 
Tripos_fusus;mixotroph;CM;PA;Spatial;no pseudoabs 
Spiniferodinium_palauense;mixotroph;CM;PA;Spatial;no pseudoabs 
Spiniferodinium_palustre;mixotroph;CM;PA;Spatial;no pseudoabs 
Prorocentrum_cordatum;mixotroph;CM;PA;Spatial;no pseudoabs 
Gymnodinium_smaydae;mixotroph;CM;PA;Spatial;no pseudoabs 
Prorocentrum_donghaiense;mixotroph;CM;PA;Spatial;no pseudoabs 
Paragymnodinium_shiwhaense;mixotroph;CM;PA;Spatial;no pseudoabs 
Symbiodinium_sp.;mixotroph;CM;PA;Spatial;no pseudoabs 
Karenia_mikimotoi;mixotroph;CM;PA;Spatial;no pseudoabs 
Karenia_brevis;mixotroph;CM;PA;Spatial;no pseudoabs 
Dinophysis_acuminata;mixotroph;pSNCM;PA;Spatial;no pseudoabs 
Alexandrium_affine;mixotroph;CM;PA;Spatial;no pseudoabs 
Alexandrium_ostenfeldii;mixotroph;CM;PA;Spatial;no pseudoabs 
Alexandrium_andersonii;mixotroph;CM;PA;Spatial;no pseudoabs 
Ansanella_granifera;mixotroph;CM;PA;Spatial;no pseudoabs 
Fragilidium_sp.;mixotroph;CM;PA;Spatial;no pseudoabs 
Prorocentrum_triestinum;mixotroph;CM;PA;Spatial;no pseudoabs 
Yihiella_yeosuensis;mixotroph;CM;PA;Spatial;no pseudoabs 
Heterocapsa_triquetra;mixotroph;CM;PA;Spatial;no pseudoabs 
Karenia_bicuneiformis;mixotroph;CM;PA;Spatial;no pseudoabs 
Gymnodinium_aureolum;mixotroph;CM;PA;Spatial;no pseudoabs 
Levanderina_fissa;mixotroph;CM;PA;Spatial;no pseudoabs 
Ornithocercus_quadratus;mixotroph;eSNCM;PA;Spatial;no pseudoabs 
Phalacroma_mitra;mixotroph;pSNCM;PA;Spatial;no pseudoabs 
Azadinium_trinitatum;phototroph;NA;PA;Spatial;no pseudoabs 
Lepidodinium_chlorophorum;mixotroph;CM;PA;Spatial;no pseudoabs 
Lepidodinium_sp.;mixotroph;CM;PA;Spatial;no pseudoabs 
Pentapharsodinium_tyrrhenicum;mixotroph;CM;PA;Spatial;no pseudoabs 
Pentapharsodinium_sp.;phototroph;NA;PA;Spatial;no pseudoabs 
Amphidoma_languida;phototroph;NA;PA;Spatial;no pseudoabs 
Azadinium_poporum;phototroph;NA;PA;Spatial;no pseudoabs 
Azadinium_caudatum;phototroph;NA;PA;Spatial;no pseudoabs 
Azadinium_obesum;phototroph;NA;PA;Spatial;no pseudoabs 
Lessardia_elongata;phototroph;NA;PA;Spatial;no pseudoabs 
Pyrocystis_lunula;phototroph;NA;PA;Spatial;no pseudoabs 
Azadinium_dexteroporum;phototroph;NA;PA;Spatial;no pseudoabs 
Alexandrium_hiranoi;phototroph;NA;PA;Spatial;no pseudoabs 
Protoceratium_reticulatum;mixotroph;CM;PA;Spatial;no pseudoabs 
Pyrocystis_sp.;phototroph;NA;PA;Spatial;no pseudoabs 
Azadinium_concinnum;phototroph;NA;PA;Spatial;no pseudoabs 
Torodinium_teredo;mixotroph;CM;PA;Spatial;no pseudoabs 
Amphidinium_longum;phagotroph;NA;PA;Spatial;no pseudoabs 
Erythropsidinium_agile;phagotroph;NA;PA;Spatial;no pseudoabs 
Gonyaulax_spinifera;mixotroph;CM;PA;Spatial;no pseudoabs 
Gyrodinium_dominans;phagotroph;NA;PA;Spatial;no pseudoabs 
Gyrodinium_fusiforme;phagotroph;NA;PA;Spatial;no pseudoabs 
Gyrodinium_helveticum;phagotroph;NA;PA;Spatial;no pseudoabs 
Gyrodinium_heterogrammum;phagotroph;NA;PA;Spatial;no pseudoabs 
Gyrodinium_rubrum;phagotroph;NA;PA;Spatial;no pseudoabs 
Gyrodinium_spirale;phagotroph;NA;PA;Spatial;no pseudoabs 
Islandinium_tricingulatum;phagotroph;NA;PA;Spatial;no pseudoabs 
Polykrikos_kofoidii;phagotroph;NA;PA;Spatial;no pseudoabs 
Proterythropsis_sp.;phagotroph;NA;PA;Spatial;no pseudoabs 
Protoperidinium_bipes;phagotroph;NA;PA;Spatial;no pseudoabs 
Protoperidinium_depressum;phagotroph;NA;PA;Spatial;no pseudoabs 
Protoperidinium_elegans;phagotroph;NA;PA;Spatial;no pseudoabs 
Protoperidinium_pellucidum;phagotroph;NA;PA;Spatial;no pseudoabs 
Protoperidinium_punctulatum;phagotroph;NA;PA;Spatial;no pseudoabs 
Protoperidinium_sp.;phagotroph;NA;PA;Spatial;no pseudoabs 
Sinophysis_stenosoma;phagotroph;NA;PA;Spatial;no pseudoabs 
Abedinium_dasypus;phagotroph;NA;PA;Spatial;no pseudoabs 
Warnowia_sp.;phagotroph;NA;PA;Spatial;no pseudoabs 
